4.97482,4.9977,5.07796,\n
226.377,226.269,226.579,\n
128.507,128.231,128.221,\n
4.59753,4.54846,4.55368,\n
4.36282,4.35765,4.3623,\n
4.27279,4.21974,4.22509,\n
4.44461,4.44246,4.4466,\n
4.32426,4.33091,4.31641,\n
4.20297,4.20714,4.19223,\n
4.31349,4.34936,4.3063,\n
4.33305,4.21617,4.21977,\n
4.15962,4.24248,4.17269,\n
4.23991,4.32034,4.25066,\n
4.15644,4.15161,4.15012,\n
4.06851,4.1691,4.17751,\n
4.19268,4.19151,4.2182,\n
4.17331,4.10786,4.0986,\n
4.0132,4.01783,4.01895,\n
162.026,161.144,162.11,\n
160.592,160.486,160.688,\n
158.607,160.129,159.789,\n
158.811,158.811,158.803,\n
161.223,161.174,161.067,\n
163.458,169.243,163.7,\n
163.632,163.111,163.286,\n
169.675,169.778,167.873,\n
170.718,170.519,170.859,\n
170.008,170.036,170.048,\n
170.08,170.18,170.124,\n
168.473,167.721,169.772,\n
166.308,166.533,166.594,\n
166.527,166.392,166.716,\n
163.945,163.36,163.939,\n
186.792,186.721,187.74,\n
149.318,148.963,148.944,\n
114.868,115.025,114.838,\n
154.501,154.497,154.236,\n
116.752,116.865,116.761,\n
92.3795,92.4291,92.499,\n
120.8,120.708,120.879,\n
95.8562,94.1103,94.0543,\n
81.815,81.9323,82.0926,\n
96.005,95.965,96.0415,\n
81.4581,81.6681,81.5132,\n
76.2055,76.1312,76.2408,\n
82.5843,82.4248,82.3813,\n
75.6051,75.7628,75.4983,\n
73.0702,73.0042,72.8556,\n
